year,sex,place,age_group,population
2024,total,whole_country,total,1374687
2024,total,whole_country,0-4,66025
2024,total,whole_country,5-9,75696
2024,total,whole_country,10-14,78607
2024,total,whole_country,15-19,76419
2024,total,whole_country,20-24,66338
2024,total,whole_country,25-29,69593
2024,total,whole_country,30-34,95552
2024,total,whole_country,35-39,108061
2024,total,whole_country,40-44,98703
2024,total,whole_country,45-49,94227
2024,total,whole_country,50-54,93129
2024,total,whole_country,55-59,83393
2024,total,whole_country,60-64,87483
2024,total,whole_country,65-69,81897
2024,total,whole_country,70-74,70199
2024,total,whole_country,75-79,49875
2024,total,whole_country,80-84,40095
2024,total,whole_country,85-89,26338
2024,total,whole_country,90-94,10480
2024,total,whole_country,95-99,2363
2024,total,whole_country,85_plus,39395
2024,total,whole_country,100_plus,214
2024,total,harju_county,total,646315
2024,total,harju_county,0-4,32633
2024,total,harju_county,5-9,37688
2024,total,harju_county,10-14,38037
2024,total,harju_county,15-19,36105
2024,total,harju_county,20-24,29704
2024,total,harju_county,25-29,34786
2024,total,harju_county,30-34,50356
2024,total,harju_county,35-39,58409
2024,total,harju_county,40-44,52479
2024,total,harju_county,45-49,48337
2024,total,harju_county,50-54,42251
2024,total,harju_county,55-59,35268
2024,total,harju_county,60-64,35929
2024,total,harju_county,65-69,33684
2024,total,harju_county,70-74,28720
2024,total,harju_county,75-79,20586
2024,total,harju_county,80-84,15952
2024,total,harju_county,85-89,10535
2024,total,harju_county,90-94,3893
2024,total,harju_county,95-99,888
2024,total,harju_county,85_plus,15391
2024,total,harju_county,100_plus,75
2024,male,whole_country,total,651613
2024,male,whole_country,0-4,33712
2024,male,whole_country,5-9,38941
2024,male,whole_country,10-14,40162
2024,male,whole_country,15-19,39324
2024,male,whole_country,20-24,33363
2024,male,whole_country,25-29,35547
2024,male,whole_country,30-34,49838
2024,male,whole_country,35-39,56174
2024,male,whole_country,40-44,50916
2024,male,whole_country,45-49,47886
2024,male,whole_country,50-54,46318
2024,male,whole_country,55-59,39939
2024,male,whole_country,60-64,39987
2024,male,whole_country,65-69,34651
2024,male,whole_country,70-74,26914
2024,male,whole_country,75-79,17216
2024,male,whole_country,80-84,11864
2024,male,whole_country,85-89,6396
2024,male,whole_country,90-94,2112
2024,male,whole_country,95-99,330
2024,male,whole_country,85_plus,8861
2024,male,whole_country,100_plus,23
2024,male,harju_county,total,305973
2024,male,harju_county,0-4,16627
2024,male,harju_county,5-9,19402
2024,male,harju_county,10-14,19317
2024,male,harju_county,15-19,18576
2024,male,harju_county,20-24,14714
2024,male,harju_county,25-29,17308
2024,male,harju_county,30-34,25507
2024,male,harju_county,35-39,29659
2024,male,harju_county,40-44,26535
2024,male,harju_county,45-49,24467
2024,male,harju_county,50-54,20993
2024,male,harju_county,55-59,16950
2024,male,harju_county,60-64,16054
2024,male,harju_county,65-69,13779
2024,male,harju_county,70-74,10640
2024,male,harju_county,75-79,7025
2024,male,harju_county,80-84,4809
2024,male,harju_county,85-89,2619
2024,male,harju_county,90-94,846
2024,male,harju_county,95-99,139
2024,male,harju_county,85_plus,3611
2024,male,harju_county,100_plus,7
2024,female,whole_country,total,723074
2024,female,whole_country,0-4,32313
2024,female,whole_country,5-9,36755
2024,female,whole_country,10-14,38445
2024,female,whole_country,15-19,37095
2024,female,whole_country,20-24,32975
2024,female,whole_country,25-29,34046
2024,female,whole_country,30-34,45714
2024,female,whole_country,35-39,51887
2024,female,whole_country,40-44,47787
2024,female,whole_country,45-49,46341
2024,female,whole_country,50-54,46811
2024,female,whole_country,55-59,43454
2024,female,whole_country,60-64,47496
2024,female,whole_country,65-69,47246
2024,female,whole_country,70-74,43285
2024,female,whole_country,75-79,32659
2024,female,whole_country,80-84,28231
2024,female,whole_country,85-89,19942
2024,female,whole_country,90-94,8368
2024,female,whole_country,95-99,2033
2024,female,whole_country,85_plus,30534
2024,female,whole_country,100_plus,191
2024,female,harju_county,total,340342
2024,female,harju_county,0-4,16006
2024,female,harju_county,5-9,18286
2024,female,harju_county,10-14,18720
2024,female,harju_county,15-19,17529
2024,female,harju_county,20-24,14990
2024,female,harju_county,25-29,17478
2024,female,harju_county,30-34,24849
2024,female,harju_county,35-39,28750
2024,female,harju_county,40-44,25944
2024,female,harju_county,45-49,23870
2024,female,harju_county,50-54,21258
2024,female,harju_county,55-59,18318
2024,female,harju_county,60-64,19875
2024,female,harju_county,65-69,19905
2024,female,harju_county,70-74,18080
2024,female,harju_county,75-79,13561
2024,female,harju_county,80-84,11143
2024,female,harju_county,85-89,7916
2024,female,harju_county,90-94,3047
2024,female,harju_county,95-99,749
2024,female,harju_county,85_plus,11780
2024,female,harju_county,100_plus,68
2025,total,whole_country,total,1369995
2025,total,whole_country,0-4,60931
2025,total,whole_country,5-9,75610
2025,total,whole_country,10-14,77187
2025,total,whole_country,15-19,78959
2025,total,whole_country,20-24,68294
2025,total,whole_country,25-29,67753
2025,total,whole_country,30-34,88157
2025,total,whole_country,35-39,108672
2025,total,whole_country,40-44,100437
2025,total,whole_country,45-49,94159
2025,total,whole_country,50-54,93392
2025,total,whole_country,55-59,83706
2025,total,whole_country,60-64,86295
2025,total,whole_country,65-69,82800
2025,total,whole_country,70-74,70675
2025,total,whole_country,75-79,53992
2025,total,whole_country,80-84,37855
2025,total,whole_country,85-89,27775
2025,total,whole_country,90-94,10597
2025,total,whole_country,95-99,2498
2025,total,whole_country,85_plus,41121
2025,total,whole_country,100_plus,251
2025,total,harju_county,total,647024
2025,total,harju_county,0-4,30087
2025,total,harju_county,5-9,37464
2025,total,harju_county,10-14,37501
2025,total,harju_county,15-19,37712
2025,total,harju_county,20-24,31283
2025,total,harju_county,25-29,34078
2025,total,harju_county,30-34,46361
2025,total,harju_county,35-39,58531
2025,total,harju_county,40-44,53660
2025,total,harju_county,45-49,48975
2025,total,harju_county,50-54,43490
2025,total,harju_county,55-59,35625
2025,total,harju_county,60-64,35674
2025,total,harju_county,65-69,34015
2025,total,harju_county,70-74,29017
2025,total,harju_county,75-79,22484
2025,total,harju_county,80-84,14854
2025,total,harju_county,85-89,11232
2025,total,harju_county,90-94,3936
2025,total,harju_county,95-99,950
