year,sex,marriage_type,age_group,marriages
2024,male,all_marriages,total,6290
2024,male,all_marriages,under_or_equal_19,40
2024,male,all_marriages,20-24,532
2024,male,all_marriages,25-29,1005
2024,male,all_marriages,30-34,1339
2024,male,all_marriages,35-39,1152
2024,male,all_marriages,40-44,720
2024,male,all_marriages,45-49,506
2024,male,all_marriages,50-54,345
2024,male,all_marriages,55-59,200
2024,male,all_marriages,60-64,141
2024,male,all_marriages,65-69,75
2024,male,all_marriages,70-74,39
2024,male,all_marriages,75_plus,32
2024,male,all_marriages,unknown,164
2024,female,all_marriages,total,6432
2024,female,all_marriages,under_or_equal_19,138
2024,female,all_marriages,20-24,886
2024,female,all_marriages,25-29,1325
2024,female,all_marriages,30-34,1269
2024,female,all_marriages,35-39,984
2024,female,all_marriages,40-44,623
2024,female,all_marriages,45-49,444
2024,female,all_marriages,50-54,267
2024,female,all_marriages,55-59,143
2024,female,all_marriages,60-64,91
2024,female,all_marriages,65-69,59
2024,female,all_marriages,70-74,22
2024,female,all_marriages,75_plus,10
2024,female,all_marriages,unknown,171
