year,county,age_group,deaths
2024,whole_country,total,15756
2024,whole_country,under_15,40
2024,whole_country,15-19,33
2024,whole_country,20-24,36
2024,whole_country,25-29,25
2024,whole_country,30-34,95
2024,whole_country,35-39,143
2024,whole_country,40-44,209
2024,whole_country,45-49,295
2024,whole_country,50-54,423
2024,whole_country,55-59,571
2024,whole_country,60-64,998
2024,whole_country,65-69,1350
2024,whole_country,70-74,1635
2024,whole_country,75-79,1926
2024,whole_country,80-84,2340
2024,whole_country,85_plus,5637
2024,whole_country,unknown,0
2024,harju_county,total,5925
2024,harju_county,under_15,16
2024,harju_county,15-19,14
2024,harju_county,20-24,14
2024,harju_county,25-29,11
2024,harju_county,30-34,46
2024,harju_county,35-39,51
2024,harju_county,40-44,100
2024,harju_county,45-49,137
2024,harju_county,50-54,139
2024,harju_county,55-59,198
2024,harju_county,60-64,374
2024,harju_county,65-69,499
2024,harju_county,70-74,582
2024,harju_county,75-79,754
2024,harju_county,80-84,879
2024,harju_county,85_plus,2111
2024,harju_county,unknown,0
