year,sex,age_group,migration_type,metric,value
2024,total,total,external_migration,emigration,17260
2024,total,total,external_migration,immigration,18634
2024,total,total,external_migration,net_migration,1374
2024,total,0-4,external_migration,emigration,343
2024,total,0-4,external_migration,immigration,601
2024,total,0-4,external_migration,net_migration,258
2024,total,5-9,external_migration,emigration,681
2024,total,5-9,external_migration,immigration,550
2024,total,5-9,external_migration,net_migration,-131
2024,total,10-14,external_migration,emigration,607
2024,total,10-14,external_migration,immigration,558
2024,total,10-14,external_migration,net_migration,-49
2024,total,15-19,external_migration,emigration,531
2024,total,15-19,external_migration,immigration,972
2024,total,15-19,external_migration,net_migration,441
2024,total,20-24,external_migration,emigration,1414
2024,total,20-24,external_migration,immigration,2166
2024,total,20-24,external_migration,net_migration,752
2024,total,25-29,external_migration,emigration,2062
2024,total,25-29,external_migration,immigration,2235
2024,total,25-29,external_migration,net_migration,173
2024,total,30-34,external_migration,emigration,2280
2024,total,30-34,external_migration,immigration,2081
2024,total,30-34,external_migration,net_migration,-199
2024,total,35-39,external_migration,emigration,2293
2024,total,35-39,external_migration,immigration,2068
2024,total,35-39,external_migration,net_migration,-225
2024,total,40-44,external_migration,emigration,1840
2024,total,40-44,external_migration,immigration,1698
2024,total,40-44,external_migration,net_migration,-142
2024,total,45-49,external_migration,emigration,1480
2024,total,45-49,external_migration,immigration,1418
2024,total,45-49,external_migration,net_migration,-62
2024,total,50-54,external_migration,emigration,1275
2024,total,50-54,external_migration,immigration,1246
2024,total,50-54,external_migration,net_migration,-29
2024,total,55-59,external_migration,emigration,1014
2024,total,55-59,external_migration,immigration,856
2024,total,55-59,external_migration,net_migration,-158
2024,total,60-64,external_migration,emigration,667
2024,total,60-64,external_migration,immigration,914
2024,total,60-64,external_migration,net_migration,247
2024,total,65-69,external_migration,emigration,321
2024,total,65-69,external_migration,immigration,697
2024,total,65-69,external_migration,net_migration,376
2024,total,70-74,external_migration,emigration,188
2024,total,70-74,external_migration,immigration,289
2024,total,70-74,external_migration,net_migration,101
2024,total,75-79,external_migration,emigration,110
2024,total,75-79,external_migration,immigration,144
2024,total,75-79,external_migration,net_migration,34
2024,total,80-84,external_migration,emigration,65
2024,total,80-84,external_migration,immigration,70
2024,total,80-84,external_migration,net_migration,5
2024,total,85_plus,external_migration,emigration,89
2024,total,85_plus,external_migration,immigration,71
2024,total,85_plus,external_migration,net_migration,-18
