"Year","County","Age group","Mehed ja naised Total"
"2024","Kogu Eesti","Age groups total",15756
"2024","Kogu Eesti","Under 15",40
"2024","Kogu Eesti","15-19",33
"2024","Kogu Eesti","20-24",36
"2024","Kogu Eesti","25-29",25
"2024","Kogu Eesti","30-34",95
"2024","Kogu Eesti","35-39",143
"2024","Kogu Eesti","40-44",209
"2024","Kogu Eesti","45-49",295
"2024","Kogu Eesti","50-54",423
"2024","Kogu Eesti","55-59",571
"2024","Kogu Eesti","60-64",998
"2024","Kogu Eesti","65-69",1350
"2024","Kogu Eesti","70-74",1635
"2024","Kogu Eesti","75-79",1926
"2024","Kogu Eesti","80-84",2340
"2024","Kogu Eesti","85 and over",5637
"2024","Kogu Eesti","Age unknown",0
"2024","Harju county","Age groups total",5925
"2024","Harju county","Under 15",16
"2024","Harju county","15-19",14
"2024","Harju county","20-24",14
"2024","Harju county","25-29",11
"2024","Harju county","30-34",46
"2024","Harju county","35-39",51
"2024","Harju county","40-44",100
"2024","Harju county","45-49",137
"2024","Harju county","50-54",139
"2024","Harju county","55-59",198
"2024","Harju county","60-64",374
"2024","Harju county","65-69",499
"2024","Harju county","70-74",582
"2024","Harju county","75-79",754
"2024","Harju county","80-84",879
"2024","Harju county","85 and over",2111
"2024","Harju county","Age unknown",0
