"Year","Sex","Age group","Immigration External migration","Emigration External migration","Net migration External migration"
"2024","Males and females","Age groups total",18634,17260,1374
"2024","Males and females","0-4",601,343,258
"2024","Males and females","5-9",550,681,-131
"2024","Males and females","10-14",558,607,-49
"2024","Males and females","15-19",972,531,441
"2024","Males and females","20-24",2166,1414,752
"2024","Males and females","25-29",2235,2062,173
"2024","Males and females","30-34",2081,2280,-199
"2024","Males and females","35-39",2068,2293,-225
"2024","Males and females","40-44",1698,1840,-142
"2024","Males and females","45-49",1418,1480,-62
"2024","Males and females","50-54",1246,1275,-29
"2024","Males and females","55-59",856,1014,-158
"2024","Males and females","60-64",914,667,247
"2024","Males and females","65-69",697,321,376
"2024","Males and females","70-74",289,188,101
"2024","Males and females","75-79",144,110,34
"2024","Males and females","80-84",70,65,5
"2024","Males and females","85 and older",71,89,-18
